t,position,velocity
0.0,0,0
0.01001001001001001,0.0004967230910955646,0.09881644779244383
0.02002002002002002,0.0019696624066376667,0.19504233680088523
0.03003003003003003,0.004392722208261606,0.28864543995701253
0.04004004004004004,0.0077395016042830795,0.37959700510715133
0.050050050050050046,0.011983329042171498,0.46787169643859133
0.06006006006006006,0.017097296204660762,0.5534475339186984
0.07007007007007007,0.023054291290164862,0.6363058308584375
0.08008008008008008,0.029827031659278573,0.7164311297110173
0.09009009009009009,0.037388095830246694,0.7938111362153597
0.10010010010010009,0.045709954807378134,0.8684366519930111
0.11011011011011011,0.0547650027274625,0.9403015057059347
0.12012012012012012,0.06452558681031607,1.0094024828813724
0.13013013013013014,0.0749640366006407,1.0757392545086344
0.14014014014014015,0.08605269248942127,1.139314304511276
0.15015015015015015,0.0977639335041164,1.2001328561966451
0.16016016016016016,0.11007020435790962,1.2582027977832493
0.17017017017017017,0.1229440417492863,1.31353460710479
0.18018018018018017,0.13635809990418235,1.366141275588052
0.19019019019019018,0.15028517535391547,1.4160382316001132
0.20020020020020018,0.16469823094305625,1.4632432632585792
0.21021021021021022,0.1795704190623253,1.5077764407967154
0.22022022022022023,0.19487510410251305,1.5496600385734882
0.23023023023023023,0.21058588412631027,1.5889184568166088
0.24024024024024024,0.2266766117558096,1.6255781431847272
0.2502502502502503,0.24312141427429038,1.6596675142329214
0.2602602602602603,0.25989471294173155,1.6912168768636122
0.2702702702702703,0.2769712415243096,1.7202583498429636
0.2802802802802803,0.2943260640389284,1.7468257854607485
0.2902902902902903,0.3119345917145992,1.770954691409543
0.3003003003003003,0.3297725991732363,1.7926821529569716
0.3103103103103103,0.3478162398331627,1.8120467554825683
0.3203203203203203,0.3660420605393236,1.8290885074486463
0.3303303303303303,0.3844270154248917,1.8438487638723655
0.34034034034034033,0.4029484790096068,1.8563701503639947
0.35035035035035034,0.4215842585408348,1.8666964877941377
0.36036036036036034,0.44031260558394614,1.8748727176504805
0.37037037037037035,0.4591122268692095,1.8809448281423782
0.38038038038038036,0.4779622944029701,1.8849597811093741
0.39039039039039036,0.4968424548514302,1.8869654397875146
0.40040040040040037,0.5157328382058793,1.887010497485081
0.41041041041041043,0.5346140657387272,1.8851444072171502
0.42042042042042044,0.5534672572601732,1.881417312346157
0.43043043043043044,0.5722740376858122,1.8758799782734388
0.44044044044044045,0.5910165429259102,1.8685837252245205
0.45045045045045046,0.6096774251075054,1.8595803621687266
0.46046046046046046,0.6282398571408816,1.8489221219115184
0.47047047047047047,0.6466875366423372,1.8366615973958027
0.4804804804804805,0.6650046892255235,1.8228516792463128
0.4904904904904905,0.6831760711739574,1.8075454945890403
0.5005005005005005,0.7011869715076233,1.7907963471755977
0.5105105105105106,0.7190232134568676,1.7726576588403076
0.5205205205205206,0.7366711553570553,1.7531829123157705
0.5305305305305306,0.7541176909777105,1.7324255954306214
0.5405405405405406,0.7713502493000841,1.710439146711195
0.5505505505505506,0.7883567937573037,1.6872769024068421
0.5605605605605606,0.8051258209514466,1.6629920449566948
0.5705705705705706,0.8216463588620462,1.637637552913771
0.5805805805805806,0.8379079645606913,1.611266152340427
0.5905905905905906,0.8539007214465095,1.5839302696873154
0.6006006006006006,0.8696152360174367,1.5556819861662032
0.6106106106106106,0.8850426341922714,1.5265729936252177
0.6206206206206206,0.9001745571985891,1.4966545519333545
0.6306306306306306,0.9150031570416506,1.4659774478793752
0.6406406406406406,0.9295210915694825,1.4345919555885536
0.6506506506506506,0.9437215191493351,1.4025477984591073
0.6606606606606606,0.9575980929707298,1.3698941126185602
0.6706706706706707,0.9711449549903081,1.3366794118987324
0.6806806806806807,0.9843567295336682,1.302951554326548
0.6906906906906907,0.9972285165693449,1.2687577101263834
0.7007007007007007,1.0097558846700343,1.234144331228253
0.7107107107107107,1.021934863676103,1.1991571222747446
0.7207207207207207,1.033761937076342,1.1638410131182777
0.7307307307307307,1.045234034120839,1.1282401327989562
0.7407407407407407,1.0563485216807322,1.0923977849920292
0.7507507507507507,1.067103195869498,1.0563564249127655
0.7607607607607607,1.0774962734402962,1.0201576376653696
0.7707707707707707,1.087526382973754,0.9838421180214446
0.7807807807807807,1.0971925558704239,0.9474496516124205
0.7907907907907907,1.1064942171619847,0.9110190975193266
0.8008008008008007,1.1154311761550857,0.8745883722422875
0.8108108108108109,1.1240036169215568,0.838194435031167
0.8208208208208209,1.1322120886485056,0.8018732745578754
0.8308308308308309,1.1400574958616392,0.7656598969099804
0.8408408408408409,1.1475410885349224,0.7295883148844419
0.8508508508508509,1.1546644520994866,0.6936915385595027
0.8608608608608609,1.161429497364462,0.6580015671220251
0.8708708708708709,1.1678384503621901,0.6225493819268644
0.8808808808808809,1.1738938421300251,0.5873649407642128
0.8908908908908909,1.1795984984406953,0.5524771733102231
0.9009009009009009,1.1849555294929428,0.5179139777356531
0.9109109109109109,1.1899683195739026,0.4837022184467276
0.9209209209209209,1.1946405167044276,0.4498677249319209
0.9309309309309309,1.1989760222782906,0.4164352916879037
0.9409409409409409,1.2029789807059346,0.38342867919748025
0.950950950950951,1.2066537690731634,0.3508706159319578
0.960960960960961,1.210004986824886,0.31878280135004994
0.970970970970971,1.2130374454837496,0.2871859098651063
0.980980980980981,1.2157561584132137,0.2560995957521932
0.990990990990991,1.2181663306343282,0.22554249896631204
1.001001001001001,1.2202733487051907,0.19553225184284662
1.011011011011011,1.2220827706717707,0.166085486651163
1.021021021021021,1.223600316098493,0.137217843972154
1.031031031031031,1.2248318561866833,0.10894398187042398
1.0410410410410411,1.22578340398868,0.08127758583174068
